concept,label,node,value_type,repeatable,obligation,visible_on_dataspace,dataspace_field,dataspace_input_type,controlled_vocabulary,direction,definition,notes,croissant_property,croissant_match,dcat_property,dcat_match,dublin_core_property,dublin_core_match
publisher,Publisher,dataset,agent,no,recommended,yes,organization,free_text,,both,The entity responsible for making the dataset available.,"The workbook maps organization to dct:publisher but Croissant creator, and user to dct:creator but Croissant publisher. That inversion is preserved here as recorded; see the open question in the README.",creator,partial,dcterms:publisher,exact,dcterms:publisher,exact
creator,Creator,dataset,agent,yes,optional,yes,user,free_text,,both,The entity responsible for producing the dataset.,,publisher,partial,dcterms:creator,exact,dcterms:creator,exact
qualified_attribution,Qualified attribution,dataset,structured,yes,optional,no,,,,import_only,"A role-qualified link to an agent, for multiple contributors.",Needed when a dataset has several publishers with distinct roles.,,gap,prov:qualifiedAttribution,partial,,unbound
contact_point,Contact point,dataset,vcard,yes,recommended,no,,,,import_only,"Contact information for the dataset, as a vCard.",Sub-fields are the contact_* concepts on the contact_point node.,,gap,dcat:contactPoint,exact,,gap
license,License,dataset,uri,no,mandatory,yes,license,controlled,license,both,The legal document under which the dataset is made available.,"Must serialise as a resolvable LicenseDocument URI, not the enum label. Resolve through the license vocabulary before emitting.",license,exact,dcterms:license,exact,dcterms:license,exact
rights,Rights statement,dataset,langstring,no,optional,no,,,,import_only,A statement about rights held in and over the dataset.,,,gap,dcterms:rights,exact,dcterms:rights,exact
access_rights,Access rights,dataset,concept,no,recommended,no,accessType,controlled,,both,"Whether the dataset is public, restricted, or non-public.",The workbook calls accessType unclear and marks it unmappable. It lines up with dcterms:accessRights if it means public/restricted; confirm against the platform before relying on this binding.,,gap,dcterms:accessRights,partial,dcterms:accessRights,exact
issued,Date issued,dataset,date,no,mandatory,yes,created,controlled,,both,The date the dataset was first published.,"The platform's ""created"" is mapped to issued, not dcterms:created. The workbook flags that it is unclear whether this is the original creation date or the upload date.",datePublished,exact,dcterms:issued,exact,dcterms:issued,exact
created,Date created,dataset,date,no,optional,no,,,,import_only,"The date the dataset itself was created, before publication.",,dateCreated,exact,dcterms:created,exact,dcterms:created,exact
modified,Date modified,dataset,date,no,mandatory,yes,modified,controlled,,both,The most recent date the dataset was changed.,"Should be driven by the platform's versioning, per the workbook.",dateModified,exact,dcterms:modified,exact,dcterms:modified,exact
accrual_periodicity,Update frequency,dataset,frequency,no,recommended,no,,,,import_only,How often the dataset is updated.,Use the Dublin Core Frequency vocabulary.,,gap,dcterms:accrualPeriodicity,exact,dcterms:accrualPeriodicity,exact
accrual_method,Accrual method,dataset,concept,no,optional,no,,,,import_only,How the dataset is added to.,,,gap,dcterms:accrualMethod,exact,dcterms:accrualMethod,exact
version,Version,dataset,literal,no,optional,no,,,,both,The version designator of the dataset.,DCAT has no single version field; the workbook records the combination of issued + modified + dcterms:hasVersion as the partial match.,version,exact,owl:versionInfo,partial,,gap
spatial_coverage,Spatial coverage,dataset,location,yes,mandatory,yes,geographies,controlled,geography,both,The geographic region the dataset covers.,Must serialise as a resolvable place URI. The platform stores name strings today; resolve through the geography vocabulary first.,spatialCoverage,partial,dcterms:spatial,exact,dcterms:spatial,exact
spatial_resolution,Spatial resolution,dataset,number,no,optional,no,,,,import_only,Minimum spatial separation resolvable in the dataset.,"DCAT expects metres. The registry sheet uses admin level (district, village), which needs a conversion or a separate literal field.",,gap,dcat:spatialResolutionInMeters,partial,,gap
temporal_coverage_start,Temporal coverage (start),dataset,date,no,recommended,no,,,,both,Start of the period the dataset covers.,Serialises inside a dcterms:temporal PeriodOfTime node.,temporalCoverage,partial,dcat:startDate,exact,dcterms:temporal,partial
temporal_coverage_end,Temporal coverage (end),dataset,date,no,recommended,no,,,,both,End of the period the dataset covers.,,temporalCoverage,partial,dcat:endDate,exact,dcterms:temporal,partial
temporal_resolution,Temporal resolution,dataset,duration,no,optional,no,,,,import_only,Minimum time period resolvable in the dataset.,,,gap,dcat:temporalResolution,exact,,gap
landing_page,Landing page,dataset,uri,no,recommended,yes,,automated,,export_only,A web page giving access to the dataset and its publisher.,Constructed from slug at export time.,url,partial,dcat:landingPage,exact,,gap
homepage,Homepage,dataset,uri,no,optional,no,,,,import_only,The publisher's home page for the dataset.,,url,partial,foaf:homepage,exact,,unbound
source,Source,dataset,uri,yes,optional,no,,,,import_only,A related resource the dataset is derived from.,,isBasedOn,partial,dcterms:source,exact,dcterms:source,exact
depiction,Depiction,dataset,uri,no,optional,no,,,,import_only,An image representing the dataset.,,,gap,foaf:depiction,exact,,unbound
in_catalog,In catalog,dataset,uri,no,recommended,no,,,,export_only,The catalog the dataset is listed in.,,,gap,dcat:inCatalog,exact,,unbound
in_series,In series,dataset,uri,no,optional,no,,,,import_only,The dataset series this dataset belongs to.,,,gap,dcat:inSeries,exact,,unbound
conforms_to,Conforms to,dataset,uri,yes,optional,no,metadata,,,both,An established standard or schema the dataset conforms to.,"The workbook guesses the platform's ""metadata"" field means ""which standard does this conform to?"". Treated as conformsTo on that reading; confirm before relying on it. This is also DCAT's stand-in for Croissant's RecordSet schema.",conformsTo,exact,dcterms:conformsTo,partial,dcterms:conformsTo,exact
relation,Related resource,dataset,uri,yes,optional,no,,,,import_only,A resource with an unspecified relationship to the dataset.,,,unbound,dcterms:relation,exact,dcterms:relation,exact
has_part,Has part,dataset,uri,yes,optional,no,,,,import_only,A resource included either physically or logically in the dataset.,,hasPart,exact,dcterms:hasPart,exact,dcterms:hasPart,exact
is_part_of,Is part of,dataset,uri,yes,optional,no,,,,import_only,A resource the dataset is included in.,,isPartOf,exact,dcterms:isPartOf,exact,dcterms:isPartOf,exact
is_referenced_by,Is referenced by,dataset,uri,yes,optional,no,,,,import_only,A resource that references the dataset.,,,unbound,dcterms:isReferencedBy,exact,dcterms:isReferencedBy,exact
replaces,Replaces,dataset,uri,yes,optional,no,,,,import_only,A resource the dataset supplants.,,,unbound,dcterms:replaces,exact,dcterms:replaces,exact
is_replaced_by,Is replaced by,dataset,uri,yes,optional,no,,,,import_only,A resource that supplants the dataset.,,,unbound,dcterms:isReplacedBy,exact,dcterms:isReplacedBy,exact
is_version_of,Is version of,dataset,uri,yes,optional,no,,,,import_only,A resource the dataset is a version of.,,,unbound,dcterms:isVersionOf,exact,dcterms:isVersionOf,exact
has_version,Has version,dataset,uri,yes,optional,no,,,,import_only,A version of the dataset.,,,unbound,dcterms:hasVersion,exact,dcterms:hasVersion,exact
provenance,Provenance,dataset,structured,yes,optional,no,,,,import_only,A statement of changes in ownership and custody of the dataset.,DCAT needs the external PROV-O ontology for this.,,gap,prov:wasGeneratedBy,partial,dcterms:provenance,partial
jurisdiction_level,Jurisdiction level,dataset,concept,no,recommended,no,,,,import_only,The administrative level the dataset's authority operates at.,"DCAT-IN, not yet a stable published spec.",,gap,dcatin:jurisdictionLevel,partial,,unbound
applicable_legislation,Applicable legislation,dataset,uri,yes,optional,no,,,,import_only,The legislation mandating the dataset's creation or publication.,DCAT-IN.,,gap,dcatin:applicableLegislation,partial,,unbound
hvd_category,High-value dataset category,dataset,concept,no,optional,no,,,,import_only,The high-value dataset category the dataset falls in.,DCAT-IN.,,gap,dcatin:hvdCategory,partial,,unbound
note,Note,dataset,langstring,yes,optional,no,,,,import_only,A free-text note about the dataset.,DCAT-IN.,,gap,dcatin:note,partial,,unbound
distribution,Distribution,dataset,structured,yes,mandatory,yes,resources,free_text,,both,An accessible form of the dataset — a downloadable file or an API.,The link from dataset to its distribution nodes.,distribution,exact,dcat:distribution,exact,,gap
access_url,Access URL,distribution,uri,no,mandatory,no,,,,both,A URL giving access to the distribution.,"DCAT requires this on every Distribution. Where the platform has only a download URL, use it for both.",,gap,dcat:accessURL,exact,,gap
download_url,Download URL,distribution,uri,no,recommended,yes,download_url,automated,,both,A direct link to the downloadable file.,,contentUrl,exact,dcat:downloadURL,exact,dcterms:identifier,partial
media_type,Format / media type,distribution,media_type,no,recommended,yes,format,automated,,both,The file format of the distribution.,"The platform's dataset-level ""formats"" is the set of its resources' formats, derived rather than entered.",encodingFormat,exact,dcat:mediaType,exact,dcterms:format,partial
byte_size,Byte size,distribution,bytes,no,optional,yes,size,automated,,both,The size of the distribution in bytes.,,contentSize,exact,dcat:byteSize,exact,dcterms:extent,partial
checksum,Checksum,distribution,checksum,no,optional,no,,,,both,"A hash of the distribution's contents, for integrity checking.",Croissant requires sha256 on a FileObject; DCAT has no such property.,sha256,exact,,gap,,gap
distribution_title,Distribution title,distribution,langstring,no,optional,yes,name,free_text,,both,A name given to the distribution.,,name,exact,dcterms:title,exact,,unbound
endpoint_url,Endpoint URL,distribution,uri,no,optional,no,,,,import_only,The root location of an API-based distribution.,,,gap,dcat:endpointURL,exact,,unbound
endpoint_description,Endpoint description,distribution,uri,no,optional,no,,,,import_only,A description of the services available at the endpoint.,,,gap,dcat:endpointDescription,exact,,unbound
file_set,File set,dataset,structured,yes,optional,no,,,,import_only,A group of files described by a pattern rather than individually.,DCAT has no grouping semantics; the nearest is many Distributions.,cr:FileSet,exact,,gap,,gap
containment,Containment,distribution,uri,no,optional,no,,,,import_only,Which file or archive a file is contained in.,DCAT cannot model file hierarchy.,containedIn,exact,,gap,,gap
record_set,Record set,dataset,structured,yes,optional,no,,,,import_only,A table within the dataset — its columns and their semantics.,"The main DCAT gap. This is the concept that makes a dataset ML-readable, and it is also what schemas/data_dictionary_template.csv captures.",cr:recordSet,exact,,gap,,gap
field,Field,record_set,structured,yes,optional,no,,,,import_only,"One column of a record set, with a name, description and type.",No column-level metadata exists in DCAT.,cr:field,exact,,gap,,gap
data_type,Data type,record_set,uri,yes,optional,no,,,,import_only,The semantic type of a field (including ML types like BoundingBox).,,dataType,exact,,gap,,gap
transform,Transform,record_set,structured,yes,optional,no,,,,import_only,A transformation applied to source data to produce a field.,Expressible in DCAT only through external PROV-O.,cr:transform,exact,,gap,,gap
annotation,Annotation,dataset,structured,yes,optional,no,,,,import_only,A structured ML annotation over the data.,,cr:annotation,exact,,gap,,gap
contact_name,Contact name,contact_point,literal,no,optional,no,,,,import_only,Formatted name of the contact.,,,gap,vcard:fn,exact,,unbound
contact_title,Contact title,contact_point,literal,no,optional,no,,,,import_only,Job title of the contact.,,,gap,vcard:title,exact,,unbound
contact_role,Contact role,contact_point,literal,no,optional,no,,,,import_only,Role the contact plays for this dataset.,,,gap,vcard:role,exact,,unbound
contact_organization,Contact organisation,contact_point,literal,no,optional,no,,,,import_only,Organisation the contact belongs to.,,,gap,vcard:organization-name,exact,,unbound
contact_email,Contact email,contact_point,uri,no,recommended,no,,,,import_only,Email address of the contact.,Serialises as a mailto: URI.,,gap,vcard:hasEmail,exact,,unbound
contact_address,Contact address,contact_point,structured,no,optional,no,,,,import_only,Postal address of the contact.,Nests the contact_street_address / locality / postal_code concepts.,,gap,vcard:hasAddress,exact,,unbound
contact_street_address,Contact street address,contact_point,literal,no,optional,no,,,,import_only,Street address of the contact.,,,gap,vcard:street-address,exact,,gap
contact_locality,Contact locality,contact_point,literal,no,optional,no,,,,import_only,Town or city of the contact's address.,,,gap,vcard:locality,exact,,gap
contact_postal_code,Contact postal code,contact_point,literal,no,optional,no,,,,import_only,Postal code of the contact's address.,,,gap,vcard:postal-code,exact,,gap
status,Status,dataset,literal,no,optional,no,status,automated,,none,Publication workflow state of the dataset on the platform.,Croissant has a status concept; the workbook records no DCAT equivalent and marks it not user-facing.,creativeWorkStatus,partial,,gap,,gap
download_count,Download count,dataset,number,no,optional,yes,downloadCount,automated,,none,Number of times the dataset has been downloaded.,"Usage statistic, not metadata. No DCAT equivalent.",,unbound,,unbound,,unbound
similar_datasets,Similar datasets,dataset,structured,yes,optional,yes,similarDatasets,automated,,none,Datasets the platform computes as related.,Platform-level and dynamic; the workbook says it need not be metadata.,,unbound,,unbound,,unbound
is_individual_dataset,Is individual dataset,dataset,literal,no,optional,no,isIndividualDataset,automated,,none,Whether the record is a standalone dataset or part of a collection.,"The workbook suspects this links to catalogs. If confirmed, it belongs with in_catalog / in_series rather than here.",,unbound,,unbound,,unbound
dataspace,Dataspace,dataset,literal,no,optional,no,dataspace,,,none,Unclear platform field.,Marked unclear and unmappable in the source workbook.,,unbound,,unbound,,unbound
prompt_metadata,Prompt metadata,dataset,literal,no,optional,no,promptMetadata,,,none,Unclear platform field.,Undefined in the source workbook.,,unbound,,unbound,,unbound
